"Account Name","AE Forecast Notes"
"Prima Assicurazioni S.p.A.","Apr 08, 2026 
Health score: 3
Issue: Champion loss, competitive pressure (Databricks), and lack of production stickiness.

What Changed WOW
Risk Escalation: Following the departure of our main champion (Emiliano), the account has entered a ""black box"" state. We met with the new stakeholder, Gianluca, who previously supported DataDavidot but no longer uses it in his current domain. He is currently auditing internal teams to see if they want to continue the partnership. The primary technical team is leaning heavily into Databricks and DIY Python, viewing DataDavidot only as a ""sandbox"" for experiments rather than a production necessity. Meeting with Gianluca is scheduled for next week

The 5 Checks

TW: At Risk. Evidence: The team is ""code-first"" and currently avoids DataDavidot’s monitoring/deployment capabilities. They build models in DR but deploy them elsewhere, leading to a perception that the platform is replaceable by DIY Python.

LC: In Progress. Notes: Renewed through July 2025 (current term). Future legal/security reviews will be needed if we pivot to GenAI/Agentic frameworks as proposed.

EBS: Not Started. Notes: Significant gap in leadership following Emiliano's exit. Gianluca is a Sr. Product Manager, but we have not yet identified or secured a new high-level Economic Buyer (targeting Chief Underwriting Officer).

TU: In Progress. Notes: We are in a critical 2-week window to hear back from Gianluca regarding the team's intent to continue. If the feedback is negative, the timeline for a ""save"" strategy is urgent.

PA: Not Started. Notes: Pricing has not been discussed. The current goal is to justify the existence of the contract before discussing terms.

Remaining Risk
High risk of churn due to Databricks ""noise"" and the technical team's preference for manual coding. Without a pivot to a business-centric use case (Underwriting) or a production-level ""wedge"" (Monitoring), the account is likely to be consolidated into their Databricks spend.

Next 3 Customer-Visible Steps

Sync with Gianluca to hear internal feedback on usage/value → Jordan (DR) + Gianluca (Prima) → Next Week (4/14)

Cold outreach/Multi-threading to Chief Underwriting Officer regarding ""Authentic Governance"" → Jordan (DR) → 4/15/26

Technical ""Wedge"" presentation: Proposing DR Monitoring for stalled manual Python projects → Olga (DR) → 4/22/26



Apr 02, 2026 - Still waiting to hear back from our new contact as he performs his internal contact.

Mar 18, 2026 
Customer health: 5

Just took over this account recently. I'm told our former champion has left the company. We recently met with a Sr Product Manager who is responsible for the contract going forward. He just transitioned into the role he knows who we are but his team didn't use us, so he's going to talk with other teams to understand usage and value.

Next 3 steps (to commit): 
1. Coordinate time with Gianluca in a couple weeks to hear what his team has said about if they want to continue with us
2. If they say yes, continue on with business as usual maybe propose GenAI/Agentic as a topic of conversation for them as they are an insurance company.
3. If there is an engagement gap from the team, I think it makes the most sense to pivot and attempt to look for other teams that could use us. We have a few months and we should have a better understanding where they're at in a couple of weeks.

Mar 11, 2026 - Expecting to hear from someone this week on the current state of the contract. Olga (CFDS DataDavidot) reached out to the team in our joint slack channel to ask about who the new contact would be Friday last week. Someone from the Prima team alerted us that the new stakeholder was OOO and would be reaching out to us by the end of this week.

1. Wait to hear back from new stakeholder, check in Friday if still no message
2. Setup time with new stakeholder to see how they're thinking about the renewal, Olga has some ideas of other ways they could utilize DataDavidot.
3. Decide if we need to attempt to get into other business units based off these conversations and where they stand.

Feb 26, 2026 - We’ve lost our main champion (Emiliano) and the team is leaning hard into Databricks and DIY Python. They currently see DataDavidot as just a ""sandbox"" for experiments, not a must-have for production.

We’re moving away from the technical team (who are stuck in legacy/code-only mode) and going straight to Underwriting. We need to prove DR’s value in governance and speed-to-market for actual business apps, not just data science tools.

Next Best Actions (NBAs)

High-Level Intro: Jordan to email the Chief Underwriting Officer. Focus on ""Authentic Governance"" and the 4–5 month PIV timeline to show we can move faster than their internal Python projects.

Stakeholder Map: Hit LinkedIn to find out who took over Emiliano’s budget and authority. We need to multi-thread into the Product and Analytics teams in Spain/Italy immediately.

Technical ""Wedge"": Olga to dig into their cloud setup and re-engage summer contacts. We need to find one ""stalled"" project (like Fraud or Service) where DataDavidot’s monitoring could beat their current manual process.

LH - Nov 06, 2025 

1. Have you started renewal discussions? NO
- Renewal date 13th July 2026
- Plan is to engage with champion, Emilliano Carluccio, around agentic AI by end of November 2026. Offer a workshop or demo of our offering.

2. Have we received a clear verbal commitment to renew? NO
- Account is heavily reliant on Databricks for models in production.
- Experimentation is the only area of DataDavidot they use, so we will have to try find other areas of the business that could potentially leverage DR for more end to end usage.

3. Have we secured a C-level or IT meeting to discuss Agentic solutions? NO
- Emilliano is open to introducing us to the CTO and MLOps team BUT only if we show some clear value add that Databricks cannot compete with. Will suggest this again late November

4. Is the customer's estimated ROI for predictive or agentic solutions documented? NO
- Speed of experimentation and iteration. Use DR for Experimentation only (50 model workers). No ROI shared, but productivity gains is the metric."
"American AgCredit","Apr 2, 2026
Customer health: 6
Note about health: Engagement & Technical gap. User sentiment is highly positive (""good signal"" reported by Nathan today). However, the account is undergoing a major organizational transition (splitting into 2 groups, Julia leaving, Richard joining late April), and there is an unresolved technical/IT question that could slow momentum ( followed up with our architect for next steps). 
Update: Met with Champion Nathan on an enablement call today; the team is engaged and shared their upcoming restructure. Emailed EB Minet to schedule an introductory strategy/renewal sync for the week of April 13th . 
Next 3 steps (to commit): 
1. Fahad - Jamie Keager/IT email thread to unblock any technical hurdles before I return on 4/13.
2. Conduct introductory strategy sync with Minet (EB) the week of 4/13 to align on the new two-group structure, onboarding Richard, and the upcoming renewal.
3. Manage the license transition by coordinating Julia's deactivation and Richard's activation to keep them within their 5-user contract limit."
"NESTLÉ México, S.A. de C.V.","4/9/26: Customer health: 6. Note about health: value gap & technical gap: End user left and EB moved teams. We have a new EB who doesn't knows much about DR. Business champion is motivated.
Update: 4/8: Talked to SoftwareOne to update their account so we can start working on the proposal for the renewal. 4/9: Sent a note to Lucio, data analyst, to check on model development.
Next steps: 
1. Follow up on code from rudy so we can get the forecasting use case up and running - check if 3rd enablement session is needed in early April
2. Ask Anana to introduce to new Analytics leader, Alicia.
3. Start renewal conversation

3/31 followed up after technical time with Rudy to enable new members. Rudy sent some code so we asked if they are being able to implement it. 

on 3/27 had technical time with Rudy to enable new members.

On 3/17 followed up with business champion, Anana, to introduce us to Alicia, new leader of analytics and EB. Helped new end users with technical enablement and questions on 3/10.

3/10/26: Helped with enablement questions.

3/4/26: TS training for new team members

02/11/26: Met with Anana - we agreed to do a training for the new team members. Her new boss, Alicia, is evaluating different tools. 

02/03/26: Sent invite to meet on 02/11 for a qbr. 

12/22/25: Touched base with Anana on invoicing from SoftwareOne. 

12/01: 
New VP is pushing Nestle to use an alternative AI solution. We need to prove value and make a relationship with her. I will work with Anana on it since they have services now, but we need them to pay first to SoftwareOne."
"Sohar International Bank SAOG","Apr 08, 2026 - First meeting next week

Apr 02, 2026 - Champion is leaving, Anas (CFDS, DR) working to set up intro call for me with the new Champion. So far I have not met them yet.


Mar 31, 2026 9:33 AM - We have just found out this opp is to add services on. They had them for year 1 of their 3 year. Anas to introduce me and we will bring this up to them then,"
"SAG, LCC","Apr 2, 2026

Customer health: 2 - engagement and value gap. VRI audit confirms zero internal SAG users (including Champion Jillian) have not logged in during 2026. The 8 live deployments are being maintained solely by Evolutio contractors. High risk that external Python contractors will take over the Azure environment to cut costs.

Update: Conducted a forensic audit of usage logs. Azure export friction from last year was resolved, so this is a pure engagement/strategy gap. Account has been effectively dark since Q3 2025.

Next steps (to commit): 1. Send a  check-in email to Jillian post-PTO for a confirmation on their FY27 strategy and whether they are moving to an in-house Python build.
2. Sync with Andrew at Evolutio to assess if their contractor billables are also being cut and verify the status of the 8 live models.
3. If Jillian ghosts the April 13th outreach, escalate to CTO Sandeep Joshi with a ""decommissioning protocol"" warning to definitively qualify them in or out for July."
"New York Rangers, LLC","Apr 07, 2026 
Health score: 9

What Changed WOW: Working to move them to 11.0 pricing and potentially making a marketing story with them. Still an internal discussion and not something we have yet pitched to them

TW: Confirmed
Evidence: TTMD has been extremely successful and they want to continue growing it out

LC: Not Started.

EBS: In progress, we have verbal from his team of the renewal, but not an official sign off.

TU: In Progress
Notes: Approval process and signature timeline still being confirmed with EB, but they do understand when it needs to be done. I am optimistic we can have it done before.

PA: In progress 
Notes: Internally we are working to get them moved to 11.0

Remaining Risk: Legal approval and getting the official sign off from the EB not just his team.

Next 3 Customer-Visible Steps
11.0 pricing on our end → DR → Apr 17

Approval timeline alignment discussion with EB → Customer + DR → 4/20

Pricing scenario review and selection → Customer → 4/20-25 once we finalize what the offer is and if they agree to be a customer we can reference.


Apr 02, 2026 - Verbal commit from the customer, we will be meeting internally next week to discuss pricing before we present to the customer.

Mar 25, 2026, 11:49 AM - Sentiment: High. Customer characterizes the partnership as a ""huge success"" that has ""surpassed the scope of the project.""

Executive Summary
The ""Ardie"" (Agentic AI) application has moved from a pilot/experimental phase to a stable, value-driving tool for Hockey Operations. Rich Dry (MSG) is seeing high engagement in summarizing scouting reports and identifying player targets. The focus is now shifting from development to operationalization and internal expansion (Scouts, Coaches, Front Office).

Key Value Drivers & Risks
Value: High stickiness. The tool is being used for critical talent evaluation (goaltender identification) and potential daily league-wide intelligence newsletters.

Risk (Technical Dependency): The customer identified ""Derek-dependence"" as a risk. They are concerned about support if their primary DataDavidot engineer is unavailable.

Expansion Barrier: To roll this out to the broader organization, we must solve for granular content security (e.g., ensuring scouts cannot see each other's proprietary reports).

Next Steps:
Architect Security Layer: Derek to propose a technical framework for ""Domain Security"" (User ID-based data filtering) by next week to unblock departmental expansion.

Formalize Knowledge Transfer: Schedule a ""Deep Dive"" session with Rich to grant repo access and walk through the backend. This mitigates the ""Derek-dependence"" risk and builds customer autonomy.

Initiate Renewal Paperwork:  begin the track track for a multi-year renewal (Year 2/3) now, leveraging the current high sentiment to avoid last-minute procurement delays. Additionally may add in execution hours.

Mar 18, 2026
Customer health: 6

Have set up time yesterday to meet with the EB starting next week. Derek Pernicek has lead conversations with them and says they are happy but also may expect more services then what they paid for so that is something we're going to discuss on the first call.

Next 3 steps (to commit): 
1. Coordinate a prep call with Derek prior to next week's call
2. Meet Rich (EB) and understand current priorities and how they've thought about the TTMD product they've been using so far
3. Understand the renewal and what fits for them whether it's more services less product or more of both. Figure out how to align with them.

Mar 13, 2026 - Derek setting up an EBR to introduce me

Feb 26, 2026 - Account transition underway. Derek is working to build some features in to ensure they can utilize DataDavidot well during the trade deadline which he believes will be crucial to our renewal. After we get past that he is going to intro me to check on upcoming initiatives, and then we will have the renewal conversation

11.4.25
1. Have you started renewal discussions? No'

7/21/2026 - My champion Rich Dry and a user Matt are attending Agents in the AM NYC. Derek and I are going onsite this Friday to discuss the progress we have made with talk to my docs and talk to my data, work out any issues with TTMdocs, algin on the roadmap and value. Confirm next steps and action plan 

2. Have we received a clear verbal commitment to renew? No

They are currently in season and slammed with games and ad hoc request from coaches. We have been working through the challenges of their talk to my docs application. 
unified logging across TTMDocs for the application, llm deployment, and agentic deployment
improvements in latency / user experience. agent responses can take a while and there's no real indication that work is happening in the background

3. Have we secured a C-level or IT meeting to discuss Agentic solutions? No

The plan is to get Talk to My Docs working for them and then spread this success up the chain and get an introduction from my champion to 

4. Is the customer's estimated ROI for predictive or agentic solutions documented? Yes

We have a JSP with documented use cases, need to attached hard ROI to this week in person with them. For talk to my docs we will use time savings and the cost of that. For their predictive model they already had built and brought into DR, we will use improved model accuracy."
"Public Holdings, Inc.","4/9/26:  Customer health: 7: We lost technical champion and new DS leader is starting on March 23rd.
Update: 4/8 Met new director of data for the first time. Sent out pricing for the renewal.
Next 3 steps:
1. Demo the predictive capabilities to Dimitriy, new Director of Data, on April 14th or 15th
2. Schedule QBR & call to revise next steps for renewal
3. Check on proposal feedback

3/26: Alli, Strategic Finance Leader, introduced me via email to Dimitriy, new director of Data. I sent out a note with options to meet.

On 3/9 I spoke with Alli who is the Strategic Finance Leader and we agreed to coordinate a call with the new director of Data.

3/9/26: Alli, Strategic Finance Leader, emailed me on 3/9 asking me to check back early April as they have a new Director of Data starting on 3/23.

3/4/26: Reached out to Alli, Strategic finance leader, to check who should be my main point of contact since David, champion, left company.


12/01/2025: 
David Hill, our champion, notified me that he is leaving the company. His last day is Dec 5th. He is the main user so this change puts our partnership at risk."
"ISMIE Mutual Insurance Company","Apr 08, 2026 - Health score: 4 (Previously 5)
Issue: Value gap and active pricing objection (EB requesting a rate cut).

What Changed WOW
Risk Escalation: Following a meeting on 3/19, the Economic Buyer (Jim) explicitly challenged the ROI of the $15k ARR, citing low platform utilization. To defend the current spend and pivot away from a price cut, we have scheduled a use case brainstorming session for next week (4/15) to identify ""quick win"" scenarios that justify the cost.

The 5 Checks

TW: Confirmed. Evidence: The frequency model remains in production and is delivering value to underwriters, but the technical win is currently too narrow to justify the total cost in the customer's eyes.

LC: In Progress. Notes: Renewal is July 31. No legal blockers yet, but potential GenAI/HIPAA requirements for new use cases may require a new review cycle.

EBS: At Risk. Notes: Jim (EB) is actively pushing for a discount. He has signaled that the current utilization does not justify the contract value.

TU: In Progress. Notes: 7/31 expiration. The window to save the full-value renewal is closing; we must prove value in the next 14 days to keep the signature timeline on track.

PA: At Risk. Notes: Customer requested a price cut on 3/19. We have countered with a ""Value Realization"" plan. Pricing is currently unconfirmed and highly sensitive.

Remaining Risk
High risk of contraction. If the brainstorming session next week does not result in a high-conviction ""Quick Win"" (e.g., Claims Severity Classification or Provider Churn), the customer is likely to insist on a significant discount or non-renewal.

Next 3 Customer-Visible Steps

Use case brainstorming session to identify and quantify 2+ ""Quick Wins"" → Jordan (DR) + Jim/Greg (ISMIE) → 4/15/26

Technical validation of selected use case data availability → Greg (ISMIE) + Chris/Q (DR) → 4/22/26

Delivery of ""Value-Based Renewal"" proposal (defending $15k ARR) → Jordan (DR) → 4/30/26

Apr 02, 2026 - April 8th use case brainstorming session on with the team to try and find some quick wins

Mar 19, 2026 7:26 AM , Met with EB who threw a bit of a curveball at me. He told me they don't feel like they use the platform enough to justify the 15k ARR they spend. They've asked about a price cut, but based on where we're at with pricing at this time we've counter and proposed helping them find another quick time to value use case to justify the spend.

Customer health - 7

Mar 18, 2026 -
Customer health: 8

Met with Greg (Champion) last week to introduce myself. He is very happy with the product and results they're getting and has set me up with the EB this week to discuss the renewal with his boss/EB

Next 3 steps (to commit): 
1. Meet with EB 
2. Discuss other initiatives outside of predictive, gauge if agentic/genAI is a priority
3. Finalize renewal.

Mar 11, 2026 - Met with their Sr Manager of DS (Champion) they are happy with the platform and want to discuss other use cases in May when they finish up on some current other projects.. They have interest in using LLM's but they have to be HIPPA compliant.

1. The ""Compliance First"" Technical Validation
Before we get Greg (champion) excited about a demo, I must address his primary blocker: HIPAA compliance. Since he is a solo data scientist at a physician-focused insurance firm, he cannot risk data exposure.

Action: Consult your internal security/technical team to get a specific ""DataDavidot & HIPAA"" whitepaper or a summary of how the platform handles PHI (Protected Health Information).

2. High-Value Resource Drop & ""Jim"" (EB) Connection
 handle the immediate administrative follow-up while positioning yourself as a thought leader in his specific niche (Insurance + GenAI).

Action: Send a dual-purpose email:

Part A: Attach targeted GenAI resources specifically for Insurance

3. The ""May Milestone"" Calendar Hold
Greg is currently heads-down on an underwriter dashboard and training new users. You don't want to nag him, but you don't want to be forgotten.

Action: Instead of waiting until May to reach out, send a placeholder calendar invitation now for mid-to-late May for the ""Insurance Data Scientist Strategy Session.""

Feb 26, 2026 - Account Transition completed, meeting with their Senior Manager of data science next week, Talking current initiatives, and then discussing renewal"
"Long Term Stock Exchange","Apr 08, 2026 - 

Renewal Forecast Update

Health score: 4
Issue: Technical / Product blocker

What Changed Week Over Week (WOW)
The account is in a ""Restart"" phase. Current focus is on scheduling a meeting with Juan (EB/Champion) to pivot from ""static reporting"" to a revenue-driving predictive use case following the failure of their previous production model.

The 5 Checks

Tech Win (TW): In Progress – Notes: Previous implementation failed. Juan currently views the tool as ""static."" We must prove predictive utility for intraday trading volume to regain the win.

Legal Complete (LC): In Progress – Notes: Status uncertain; need to confirm if the pivot to new use cases requires updated documentation or if existing terms cover the restart.

EB Signoff (EBS): In Progress – Notes: Juan (CTO) is a strong champion but frustrated with the ""building block"" approach. He has not formally signed off on the renewal.

Chriseline Understood (TU): Not Started – Notes: Signature window and internal LTSE approval steps are currently unknown.

Pricing Agreed (PA): Not Started – Notes: Commercial alignment has not begun; Juan is focused on validating revenue impact before discussing costs.

Remaining Risk
The technical failure of the previous model (TTMD) has created a value gap. There is a high risk of non-renewal if the new ""Revenue Use Case"" isn't validated and the AWS ""Lego"" perception isn't overcome.

Next 3 Customer-Visible Steps

Secure meeting with Juan to present ""Vision"" for revenue-driving insights * AE * 4/15

Present intraday trading volume prediction POC (Outcome vs. Features) * AE/SA * 4/22

Confirm internal LTSE procurement and approval timeline * AE * 4/22

Support Needed
Technical/Strategic Alignment: Need SA leadership to help position DataDavidot as a ""finished vision"" solution rather than just building blocks to counter the AWS-style frustration.

Apr 02, 2026 - Working to get time on for a session with Mackenzie on better enabling LTSE to continue utilizing DataDavidot. He has went dark but during our first call he was very open to learning more and improving so I expect he may be busy.

Mar 18, 2026 
Customer health: 4

Met with Juan (CTO, EB) last week. He isn't happy about the results thus far with DataDavidot and is struggling to justify the renewal due to lack of ROI. 

I know Juan seems to have also been expecting a little bit more on the execution side from us. They attempted to use TTMD but that did not work so they had to pivot to the pred side which has lead us to where we are with little to no value to show.

Next 3 steps (to commit): 
1. Briefing Zhilei to see if we can come up with some sort of plan to either add some execution to their plan or do a one off execution session
2. Zhilei, Tom, and I to meet with Juan to discuss potential use cases/execution
3. Discuss alternatives and how we partner with AWS as well as Juan mentioned they're looking into Sagemaker


Mar 11, 2026 - Red- Met with Juan, the CTO yesterday. He isn't happy about the results the've gotten so far from the platform. He wants more of an execution style contract. Based on yesterdays conversation I think the 3 best next actions would be.                                                 1. Pivot from ""Platform Access"" to ""Solution Architecture""
Juan is frustrated with the ""Lego building block"" approach of AWS and DataDavidot. He doesn't want a tool; he wants a finished engine.

The Action: Schedule a ""Business Value Mapping"" session instead of a technical demo. Bring a Lead Data Scientist who specializes in Capital Markets or Exchanges.
2. Deploy a ""White-Glove"" Restart Program
Juan mentioned the handoff from the previous AM (Sailor) was ""bumpy"" and he felt abandoned (""here you go, over to you"").

The Action: Formally propose a ""First Value"" Sprint. Offer dedicated hours to build one specific, revenue-driving use case for them, rather than letting his small team struggle with the ""Legos.""                                                                                                     3. Align with the AWS Partnership Strategy
Juan is already talking to AWS and storing 100% of his data there. He’s looking for a reason to choose one over the other or see how they work together."
"REV Federal Credit Union","Apr 08, 2026 
Health score: 7
Issue: None

What Changed Week Over Week (WOW)
Momentum is building as we have secured a confirmed meeting this Friday with both the Champion and the Economic Buyer (EB) to finalize renewal intent.

The 5 Checks

Tech Win (TW): Confirmed. Evidence: 5 models in production for customer behavior; Champion reports high organizational satisfaction.

Legal Complete (LC): Not Started. Notes: Will be addressed once renewal intent is confirmed by the EB this Friday.

EB Signoff (EBS): In Progress. Notes: Meeting scheduled for Friday to move this to ""Confirmed.""

Chriseline Understood (TU): Not Started. Notes: Goal for Friday's call is to map out the signature path before the July expiration.

Pricing Agreed (PA): Not Started. Notes: Expansion/upsell opportunities identified; need to align on commercial figures with the EB.

Remaining Risk
The EB has been a ""no-show"" previously; the primary risk is another scheduling conflict or the EB raising unexpected budgetary hurdles during the Friday session.

Next 3 Customer-Visible Steps

Confirm renewal intent and explore expansion options with EB -> CSM + EB -> Apr 10

Document internal procurement and signature milestones -> CSM -> Apr 17

Review and finalize renewal quote for signature -> CSM -> Apr 24

Support Needed: None at this time. Awaiting the outcome of the EB meeting.

Apr 01, 2026 - Champion joined call with only 5 minutes, EB wasn't able to make it. Champion said feedback in the organization is good on DataDavidot, using us for 5 models to predict customer behavior. She believes their may also be options to upsell to other departments within the org.

Feel optimistic about the renewal, and would be willing to commit it following the call next week with the EB when we finally get the conversation on with the EB.

Mar 18, 2026 
Customer health: 6

Still working to get a meeting on with them post handoff. I was told from the former AM we expect them to renew, but I have yet to meet them.

Next 3 steps (to commit): 
1. Continue working to coordinate calendars and find time to meet
2. Discuss and learn about initiatives going forward and what's most important to them
3. Talk renewal and if they intend to renew.

Mar 13, 2026 - Still attempting to get a conversation with them following the handoff from Connor, going to have him send a bump email next week to try and get their attention.

YELLOW

Feb 09, 2026 
Meeting on Feb 23 to talk about renewal in in July

Nov 12, 2025 
Karan delivered the NBP model. Checking in to ensure they're using it.

Renewal Template:
https://docs.google.com/document/d/1NP2kdijysF-PMdD8gdBWNypfWS5K_zJveR3JiAv-Hv0/edit?usp=sharing

Oct 14, 2025 
They seem happy but it also seems like Karan does all the work for them. Trying to adjust expectations

Oct 01, 2025 
Meeting with them on Oct 7

Sep 16, 2025 
Intro'ed via email.
Getting invited to their next enablement sessions

Aug 18, 2025 
I've never met - need an intro"
"CAS (Chemical Abstracts Service)","Apr 2, 2026
Customer health: 6 - Value Gap / Engagement

Note about health: While the core platform ($125k) is stable, the $50k GenAI add-on (Talk to My Data) is at risk for the 7/30 renewal. The customer has only utilized 3 of 20 purchased enablement hours, suggesting a stall in the chatbot use cases that drove the initial purchase. Last year’s ""Why Buy"" was a 12-month test to prove GenAI value before a long-term contract rewrite; without active engagement, the $50k portion is a churn threat.

Update: Conducted a deep dive into historical win notes and current health flags. Identified that the Champion (Don Swartwout) had planned Q2 expansions that haven't materialized. Noted a significant legal/procurement bottleneck from the previous cycle that requires an early start for the 7/30 deadline.

Next 3 steps (to commit):

AE Sync (4/14): Debrief with the returning AE to confirm if ""Talk to My Data"" was  successfully enabled by the CFDS and identify the friction point for the 17 unused hours.

The ""Burn Down"" Pitch (4/20): Meet with Don Swartwout to offer the 17 remaining hours as a ""no-cost"" resource to  get a chatbot into production before the renewal.

EB Alignment (5/01): Present the GenAI progress to Jim Perry (EB) to justify the $50k renewal and discuss the original ""Year 2"" plan of folding GenAI into a unified multi-year agreement."
"Firebird Music Holdings, LLC","Apr 08, 2026 
Health score: 6 Issue: Unresponsive 

What Changed Week Over Week (WOW)
Customer is currently unresponsive following the delivery of the Order Form on April 2nd. 

The 5 Checks

Tech Win (TW): Confirmed Evidence: Customer is seeing ROI from a ticket forecasting model in production and has previously renewed. 

Legal Complete (LC): In Progress Evidence: Order form sent; however, no confirmation yet if they will follow existing terms or require a new legal review. 

EB Signoff (EBS): In Progress Evidence: Ryan Mitchell (VP of Engineering) identified as EB, but is currently ""not super engaged"" and has not provided formal intent to renew for this cycle. 


Chriseline Understood (TU): Not Started Notes: No documented milestones or signature window; status is currently just ""following up"" with no confirmed approval path. 

Pricing Agreed (PA): Not Started Notes: Draft order form was sent 3.5 months early, but the customer is still ""reviewing internally"" with no feedback on terms.

Apr 02, 2026 - Customer has orderform, we have a next call on next month. I have been following up to get feedback on the OF, but no response yet.

Mar 18, 2026 
Customer health: 6
Customer is not super engaged from what I've been told from the last AM, but seem to renew.

Sent over an email to Ryan Mitchell (EB) last week with an order form to get ahead of it and put something in front of them

Next 3 steps (to commit): 
1. Coordinate time to meet with Ryan again to further discuss renewal
2. Ryan is working to hire a DS, see if we can get with that person ASAP to add value
3. Look to explore additional use cases with them.

Mar 12, 2026 - Reached out to Ryan today looking to discuss the renewal, and sent him a draft of the order form as we are about 3.5 months out from the renewal.

Next steps:
Have discussions around the renewal and if there's any reason they don't intend to renew.

Work to build out some additional use cases with them.

Talk with Ryan to see about other priorities going forward around potentially GenAI

Feb 26, 2026 - Account transition complete, planning to meet Ryan (VP of Engineering) and their newly hired upcoming data scientists, sending out the quote and then next EBR with them in a few months to finalize contract


10/24/25
1. Have you started renewal discussions?N
- They are low touch and don't have service hours so they recently renewed which is a positive sign
2. Have we received a clear verbal commitment to renew?/N
- Renewal discussion will start in Q4
3. Have we secured a C-level or IT meeting to discuss Agentic solutions? N
- Very small, low maturity shop. Not ready for agentic at this time
4. Is the customer's estimated ROI for predictive or agentic solutions documented? N
- Anecdotally, they are seeing ROI from a ticket forecasting model for their clients. They monetize this capability within a suite of services."
"Retail Capital LLC dba Credibly","4/9/26: Customer health: 8. Note about health; our Champion, Dan Yelle has confirmed a flat renewal is certain. We just need to make sure he and Nathan (CTO) are comfortable with the move to serverless and that they can control costs. Update: 4/1 Meeting on 4/9 to introduce new Account Manager and have a conversation about serverless.
Next 3 steps:
1. 4/9 Intro new Account Manager to Credibly team
2. Send over renewal proposal
3. Discuss JSP and goals for 2026

3/12/26: Stacey will schedule call with customer to introduce. There are pending discussion around serverless so she will help with that.

3/9/26: Sent out a note to Stacey on 3/6 to follow up on account transition. She will send out the information by EOD Monday 3/9.

11/18/25 - Credibly
1. Have you started renewal discussions? No
We’ve had casual conversations about the renewal being next Summer but nothing formal.  
2. Have we received a clear verbal commitment to renew? Y/N
No. Although, despite the struggles we’ve had this past year (technically) Dan said our relationship is strong and he doesn’t see Credibly moving away from DR. Rather, I think we need to find the right sized licenses for them come renewal time. 
3. Have we secured a C-level or IT meeting to discuss Agentic solutions? Y/N
Nathan is the CTO and sits on our QBRs. However we’ve not dug into Agentic just yet. We’ve been large;y focused on resolving outages and latency issues of late. 
4. Is the customer's estimated ROI for predictive or agentic solutions documented? Y/N
Not officially documented. We do know however that all of their loan decisions are made using DR, which is fundamental to their operations 24/7."
"Mercury Financial LLC","April 2, 2026

Customer health: 2 Note: Red Flag - Acquisition/Value Gap. 

Mercury was acquired by Atlanticus, and we received a formal non-renewal notice on March 9th due to a parent company mandate to consolidate onto AWS SageMaker. The account is currently ""Omitted"" in the forecast until we validate the Agentic POC.Update: On March 23rd, we synced with CDO Santiago Hernandez. While the risk team is moving to SageMaker, Santiago explicitly requested if we can provide a  Proof of Value for an ""Agentic Underwriting"" use case that Atlanticus/Sirius AI hasn't solved: using LLMs to parse unstructured transactional data for risk indicators. If we can provide ""the math"" and a demonstration of how we can identify hidden risk/approvals he will grant further access to his team. 

Next 3 steps (to commit):Resource Alignment: Sync with CSE  to assign a technical resource to build the ""Transaction-to-Risk"" POC using the 98 unused pre-paid hours.
Deliver ""The Math"": Present a case study or proof of value to Santiago  showing DataDavidot's marginal lift in underwriting via unstructured data parsing.
Displace Sirius AI: Execute the agentic POC to prove DataDavidot is the superior ""anti-lock-in"" multi-cloud solution for their new fintech-specific requirements."
"Personify Health (dba Virgin Pulse)","April 2, 2026

Health: 7

Health Note: Health is a 7 due to a Value Gap in MLOps and Services. While technical adoption is high (1,700+ models created), we are single-threaded through one power user (Justin Mason). The $33,000 MLOps ARR is under-utilized due to JAR exports (only 4/20 deployments active in-platform), and 59/70 enablement hours remain unused . 

Update: Completed strategic handoff call from Colby Miller to Ana G-H. Justin Mason is officially the new Lead PoC.Discovered historical friction with S3/Firewall uploads (Case 00186318) that is impacting user sentiment.

Next 3 steps (to commit):Unblock User Diversification: Partner with Justin (Admin) to enable ""Full Platform Access"" for Jenna Kim by mid-April to mitigate ""Justin-only"" concentration risk.
Initiate Service Burn-Down: Pitch a ""Platform Health Audit"" and ""Overview Session"" for new users (Emma/Michelle) to utilize the remaining 59 hours before the July 30 renewal.
MLOps Governance Pilot: Bridge the value gap for the $33k MLOps spend by onboarding their 60+ JAR-exported models into DataDavidot Monitoring Agents."
